metodo,modelo,variavel,IRR,IC95,p,sig
GEE AR-1,M3-contexto,ivs_score,0.870,0.730–1.038,0.1221,
GEE AR-1,M4-completo,ivs_score,0.950,0.787–1.145,0.5875,
Poisson FE,M2_contextual,ivs_score,1.321,1.121–1.557,0.0009,***
GEE AR-1,M1-base,mes_num,0.999,0.997–1.002,0.5846,
GEE AR-1,M2-CNES,mes_num,0.998,0.996–1.001,0.2696,
GEE AR-1,M3-contexto,mes_num,1.000,0.997–1.002,0.6735,
GEE AR-1,M4-completo,mes_num,1.002,1.001–1.004,0.0000,***
Poisson FE,M1_base,mes_num,0.998,0.994–1.001,0.1867,
Poisson FE,M2_contextual,mes_num,0.998,0.994–1.001,0.1870,
Poisson FE,M3_estrutural,mes_num,0.995,0.991–0.999,0.0184,*
GEE AR-1,M2-CNES,n_esf,1.058,0.994–1.126,0.0762,.
GEE AR-1,M4-completo,n_esf,1.032,1.000–1.065,0.0487,*
Poisson FE,M3_estrutural,n_esf,1.034,0.981–1.091,0.2128,
GEE AR-1,M3-contexto,pct_area_favela,1.002,0.998–1.006,0.3531,
GEE AR-1,M4-completo,pct_area_favela,1.001,0.997–1.005,0.6274,
Poisson FE,M2_contextual,pct_area_favela,1.000,0.997–1.003,0.9225,
GEE AR-1,M3-contexto,pct_sem_saneamento,0.968,0.947–0.990,0.0050,**
GEE AR-1,M4-completo,pct_sem_saneamento,0.984,0.957–1.012,0.2706,
Poisson FE,M2_contextual,pct_sem_saneamento,0.968,0.945–0.991,0.0074,**
GEE AR-1,M3-contexto,renda_media,1.345,0.803–2.253,0.2606,
GEE AR-1,M4-completo,renda_media,1.145,0.649–2.020,0.6392,
Poisson FE,M2_contextual,renda_media,1.388,0.868–2.221,0.1708,
