ivs_nivel,n_cs,n_obs,corr_str,variavel,beta,se,p_valor,RR,RR_ic_inf,RR_ic_sup,sig
Baixo,37,1329,ar1,(Intercept),-2.9247,0.1001,0,0.0537,0.0441,0.0653,***
Baixo,37,1329,ar1,mes_num,0.0289,0.0032,0,1.0293,1.0228,1.0359,***
Baixo,37,1329,ar1,interv,-0.1948,0.0583,8e-4,0.823,0.7341,0.9227,***
Baixo,37,1329,ar1,tempo_pos,-0.042,0.0052,0,0.9589,0.9492,0.9686,***
Baixo,37,1329,ar1,sin12,0.0102,0.0157,0.5145,1.0103,0.9797,1.0418,ns
Baixo,37,1329,ar1,cos12,-0.0744,0.0135,0,0.9283,0.904,0.9532,***
Baixo,37,1329,ar1,pct_sem_saneamento,-0.1394,0.0608,0.0219,0.8699,0.7721,0.98,*
Médio,77,2761,ar1,(Intercept),-2.997,0.0609,0,0.0499,0.0443,0.0563,***
Médio,77,2761,ar1,mes_num,0.027,0.0031,0,1.0274,1.0212,1.0335,***
Médio,77,2761,ar1,interv,-0.1716,0.0436,1e-4,0.8424,0.7734,0.9174,***
Médio,77,2761,ar1,tempo_pos,-0.0411,0.004,0,0.9597,0.9521,0.9673,***
Médio,77,2761,ar1,sin12,-0.019,0.0105,0.0713,0.9812,0.9611,1.0016,ns
Médio,77,2761,ar1,cos12,-0.0556,0.0087,0,0.9459,0.93,0.9622,***
Médio,77,2761,ar1,pct_sem_saneamento,0.0859,0.0693,0.2155,1.0897,0.9512,1.2483,ns
Elevado,27,972,ar1,(Intercept),-3.0091,0.1173,0,0.0493,0.0392,0.0621,***
Elevado,27,972,ar1,mes_num,0.0309,0.0072,0,1.0314,1.0169,1.0462,***
Elevado,27,972,ar1,interv,-0.2498,0.0644,1e-4,0.7789,0.6866,0.8837,***
Elevado,27,972,ar1,tempo_pos,-0.0421,0.0094,0,0.9587,0.9412,0.9765,***
Elevado,27,972,ar1,sin12,-0.0104,0.0183,0.5708,0.9897,0.9547,1.0259,ns
Elevado,27,972,ar1,cos12,-0.0956,0.0183,0,0.9088,0.8768,0.942,***
Elevado,27,972,ar1,pct_sem_saneamento,-0.0191,0.0109,0.0805,0.9811,0.9603,1.0023,ns
Muito Elevado,12,430,exchangeable,(Intercept),-3.1459,0.1167,0,0.043,0.0342,0.0541,***
Muito Elevado,12,430,exchangeable,mes_num,0.0294,0.0063,0,1.0299,1.0172,1.0428,***
Muito Elevado,12,430,exchangeable,interv,-0.0739,0.0736,0.3151,0.9288,0.8041,1.0728,ns
Muito Elevado,12,430,exchangeable,tempo_pos,-0.0384,0.0066,0,0.9623,0.9501,0.9748,***
Muito Elevado,12,430,exchangeable,sin12,0.0952,0.0223,0,1.0999,1.0529,1.149,***
Muito Elevado,12,430,exchangeable,cos12,-0.1196,0.0216,0,0.8873,0.8505,0.9256,***
Muito Elevado,12,430,exchangeable,pct_sem_saneamento,-0.0367,0.0072,0,0.964,0.9505,0.9777,***
