modelo,variavel,beta,se,p_valor,RR,RR_ic_inf,RR_ic_sup,sig
M1-base,(Intercept),-2.9044,0.0391,0,0.0548,0.0507,0.0591,***
M1-base,mes_num,-6e-4,0.0011,0.5846,0.9994,0.9973,1.0015,ns
M1-base,sin12,0.0301,0.0081,2e-4,1.0306,1.0144,1.047,***
M1-base,cos12,-0.0757,0.0068,0,0.9271,0.9148,0.9395,***
M2-CNES,(Intercept),-3.2362,0.226,0,0.0393,0.0252,0.0612,***
M2-CNES,mes_num,-0.0016,0.0014,0.2696,0.9984,0.9957,1.0012,ns
M2-CNES,sin12,0.0249,0.0093,0.0075,1.0252,1.0067,1.044,**
M2-CNES,cos12,-0.0857,0.0079,0,0.9179,0.9038,0.9322,***
M2-CNES,n_esf,0.0564,0.0318,0.0762,1.058,0.9941,1.1261,ns
M3-contexto,(Intercept),-3.1341,0.3783,0,0.0435,0.0207,0.0914,***
M3-contexto,mes_num,-5e-4,0.0011,0.6735,0.9995,0.9974,1.0017,ns
M3-contexto,sin12,0.0302,0.0082,2e-4,1.0307,1.0143,1.0473,***
M3-contexto,cos12,-0.0776,0.007,0,0.9253,0.9126,0.9382,***
M3-contexto,ivs_score,-0.139,0.0899,0.1221,0.8702,0.7297,1.0379,ns
M3-contexto,pct_area_favela,0.0019,0.0021,0.3531,1.0019,0.9979,1.006,ns
M3-contexto,renda_media,0.2962,0.2633,0.2606,1.3447,0.8027,2.2528,ns
M3-contexto,pct_sem_saneamento,-0.0324,0.0115,0.005,0.9681,0.9465,0.9903,**
M4-completo,(Intercept),-3.2307,0.5008,0,0.0395,0.0148,0.1055,***
M4-completo,mes_num,0.0025,6e-4,0,1.0025,1.0014,1.0036,***
M4-completo,sin12,0.0402,0.0073,0,1.041,1.0263,1.056,***
M4-completo,cos12,-0.0881,0.0075,0,0.9156,0.9023,0.9292,***
M4-completo,n_esf,0.0316,0.016,0.0487,1.0321,1.0002,1.065,*
M4-completo,ivs_score,-0.0519,0.0956,0.5875,0.9495,0.7872,1.1451,ns
M4-completo,pct_area_favela,9e-4,0.0019,0.6274,1.0009,0.9973,1.0046,ns
M4-completo,renda_media,0.1357,0.2895,0.6392,1.1454,0.6494,2.02,ns
M4-completo,pct_sem_saneamento,-0.0159,0.0144,0.2706,0.9842,0.9568,1.0125,ns
