competencia,data_competencia,cobertura_aps_pct,populacao_referencia,n_esf_egestor,qt_capacidade_equipe,fonte_egestor,data_extracao_egestor
2601,2026-01-01,92.2,2415872,636,2227499,eGestor_manual,2026-05-15
2602,2026-02-01,92.14,2415872,636,2226208,eGestor_manual,2026-05-15
2501,2025-01-01,86.43,2416339,596,2088501,eGestor_manual,2026-05-15
2502,2025-02-01,86.58,2416339,597,2092192,eGestor_manual,2026-05-15
2503,2025-03-01,86.57,2416339,597,2091981,eGestor_manual,2026-05-15
2504,2025-04-01,86.57,2416339,597,2092025,eGestor_manual,2026-05-15
2505,2025-05-01,86.57,2416339,597,2092006,eGestor_manual,2026-05-15
2506,2025-06-01,86.54,2416339,597,2091335,eGestor_manual,2026-05-15
2507,2025-07-01,86.57,2416339,597,2091911,eGestor_manual,2026-05-15
2508,2025-08-01,86.57,2416339,597,2091832,eGestor_manual,2026-05-15
2509,2025-09-01,90.04,2416339,621,2175795,eGestor_manual,2026-05-15
2510,2025-10-01,90.62,2416339,625,2189793,eGestor_manual,2026-05-15
2511,2025-11-01,91.78,2416339,633,2217815,eGestor_manual,2026-05-15
2512,2025-12-01,91.92,2416339,634,2221270,eGestor_manual,2026-05-15
2401,2024-01-01,90.17,2315560,596,2087956,eGestor_manual,2026-05-15
2402,2024-02-01,90.01,2315560,595,2084446,eGestor_manual,2026-05-15
2403,2024-03-01,89.71,2315560,593,2077456,eGestor_manual,2026-05-15
2404,2024-04-01,90.18,2315560,596,2088178,eGestor_manual,2026-05-15
2405,2024-05-01,90.18,2315560,596,2088237,eGestor_manual,2026-05-15
2406,2024-06-01,90.03,2315560,595,2084777,eGestor_manual,2026-05-15
2407,2024-07-01,90.03,2315560,595,2084740,eGestor_manual,2026-05-15
2408,2024-08-01,90.17,2315560,596,2088029,eGestor_manual,2026-05-15
2409,2024-09-01,90.18,2315560,596,2088276,eGestor_manual,2026-05-15
2410,2024-10-01,90.18,2315560,596,2088344,eGestor_manual,2026-05-15
2411,2024-11-01,90.35,2315560,597,2092151,eGestor_manual,2026-05-15
2412,2024-12-01,90.05,2315560,595,2085193,eGestor_manual,2026-05-15
2301,2023-01-01,89.99,2315560,595,2083796,eGestor_manual,2026-05-15
2302,2023-02-01,89.99,2315560,595,2083939,eGestor_manual,2026-05-15
2303,2023-03-01,89.68,2315560,593,2076758,eGestor_manual,2026-05-15
2304,2023-04-01,89.7,2315560,593,2077198,eGestor_manual,2026-05-15
2305,2023-05-01,90,2315560,595,2084066,eGestor_manual,2026-05-15
2306,2023-06-01,89.86,2315560,594,2080928,eGestor_manual,2026-05-15
2307,2023-07-01,90.01,2315560,595,2084297,eGestor_manual,2026-05-15
2308,2023-08-01,90.01,2315560,595,2084305,eGestor_manual,2026-05-15
2309,2023-09-01,90.18,2315560,596,2088200,eGestor_manual,2026-05-15
2310,2023-10-01,90.18,2315560,596,2088258,eGestor_manual,2026-05-15
2311,2023-11-01,90.03,2315560,595,2084759,eGestor_manual,2026-05-15
2312,2023-12-01,90.17,2315560,596,2088029,eGestor_manual,2026-05-15
